Month,Year,Conversion_Rate,Returns_Rate,Avg_Fulfillment_Days,Support_Tickets,Orders,Total_Revenue,Avg_Order_Value
2021-01,2021,0.0233,0.0403,2.52,182,195,93840728,481234
2021-02,2021,0.0234,0.0522,2.59,187,238,108132195,454336
2021-03,2021,0.0249,0.0594,2.48,257,238,113830000,478277
2021-04,2021,0.025,0.0556,2.64,210,241,114385361,474628
2021-05,2021,0.025,0.0449,2.66,250,245,122159341,498609
2021-06,2021,0.0227,0.0469,2.7,186,286,140472974,491164
2021-07,2021,0.0228,0.0614,2.4,203,239,117271837,490677
2021-08,2021,0.028,0.0566,2.37,210,269,125852927,467854
2021-09,2021,0.022,0.0624,2.51,181,269,129758151,482372
2021-10,2021,0.0212,0.0537,2.44,211,231,107032052,463342
2021-11,2021,0.0245,0.0615,2.35,238,250,129127597,516510
2021-12,2021,0.0258,0.0515,2.92,226,228,110716934,485600
2022-01,2022,0.023,0.0563,2.52,199,228,110926205,486518
2022-02,2022,0.0227,0.0442,2.93,198,324,157805631,487054
2022-03,2022,0.0256,0.0483,2.72,202,284,135976380,478790
2022-04,2022,0.029,0.0409,3.27,226,317,152953391,482502
2022-05,2022,0.0243,0.0378,2.67,178,271,125000908,461257
2022-06,2022,0.0257,0.0489,2.77,180,268,130113728,485498
2022-07,2022,0.0222,0.0435,2.41,218,264,128651362,487315
2022-08,2022,0.0238,0.0459,2.52,198,272,135544915,498326
2022-09,2022,0.0252,0.0452,2.84,204,280,134720828,481145
2022-10,2022,0.0265,0.0535,2.74,175,266,125932237,473429
2022-11,2022,0.0264,0.0486,2.24,172,285,132356042,464407
2022-12,2022,0.0221,0.0511,2.57,195,285,138064758,484437
2023-01,2023,0.0237,0.0437,2.45,173,265,127400662,480757
2023-02,2023,0.025,0.0658,2.86,192,352,168498617,478689
2023-03,2023,0.0247,0.0454,2.73,159,270,124682782,461788
2023-04,2023,0.0278,0.0556,2.15,230,317,153800121,485173
2023-05,2023,0.0253,0.0466,2.37,161,322,155569800,483136
2023-06,2023,0.0272,0.0623,2.26,195,274,132181652,482414
2023-07,2023,0.0258,0.0546,2.55,217,290,140911253,485900
2023-08,2023,0.028,0.0465,2.48,192,301,142088010,472053
2023-09,2023,0.0285,0.055,2.46,204,367,167972594,457690
2023-10,2023,0.0225,0.0442,2.89,194,310,147157313,474701
2023-11,2023,0.0262,0.0489,2.59,202,323,153335712,474723
2023-12,2023,0.0305,0.0441,2.34,185,334,157524387,471629
2024-01,2024,0.0249,0.0478,2.55,179,321,156747835,488311
2024-02,2024,0.0257,0.0507,2.52,145,347,166123527,478742
2024-03,2024,0.0269,0.0407,2.43,201,363,177222201,488215
2024-04,2024,0.0296,0.0364,2.38,186,339,171816866,506834
2024-05,2024,0.024,0.052,2.56,180,317,140539259,443341
2024-06,2024,0.0264,0.0394,2.24,178,303,147719118,487521
2024-07,2024,0.023,0.0464,2.76,154,377,176973726,469426
2024-08,2024,0.0244,0.0388,2.69,161,302,148957054,493235
2024-09,2024,0.0236,0.0554,2.09,164,278,135195675,486315
2024-10,2024,0.0266,0.053,2.73,155,324,147245350,454460
2024-11,2024,0.021,0.0588,2.37,148,314,147390161,469395
2024-12,2024,0.0234,0.0555,2.46,187,378,178608422,472509
2025-01,2025,0.0247,0.0628,1.76,162,396,192107017,485118
2025-02,2025,0.031,0.0497,2.61,197,386,190341226,493111
2025-03,2025,0.0256,0.0678,2.27,172,363,164651372,453585
2025-04,2025,0.0275,0.0386,1.85,193,393,188003324,478379
2025-05,2025,0.0266,0.0479,2.39,187,420,199129502,474117
2025-06,2025,0.0257,0.0591,2.33,173,413,210275566,509141
2025-07,2025,0.0296,0.0547,2.91,157,363,177672203,489455
2025-08,2025,0.0282,0.0473,2.4,149,458,220289728,480981
2025-09,2025,0.0263,0.0483,2.63,181,423,204815875,484198
2025-10,2025,0.026,0.048,2.55,176,436,202991770,465577
2025-11,2025,0.0274,0.0487,2.59,161,350,171233290,489237
2025-12,2025,0.0272,0.0423,2.77,202,366,167995678,459004
